"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
5,466374918E-3;-8,744879383E-1;1,884522521E-1;-6,903456688E-1;1,129964844E0
1,543837495E-2;-1,212848766E0;4,022831744E-1;-5,014151144E-1;1,372680225E0
2,540937497E-2;-1,351930638E0;1,191533911E-1;-5,302956820E-1;1,457095567E0
3,538137500E-2;-1,420449480E0;4,940025991E-1;-6,837301290E-1;1,652029716E0
4,535337503E-2;-1,920643111E0;1,218487236E0;-7,596328354E-1;2,398045694E0
5,532537494E-2;-2,698237424E0;1,785978227E0;-6,475580835E-1;3,299929529E0
6,529737497E-2;-2,781535396E0;1,980781724E0;-6,205065250E-2;3,415301697E0
7,526937500E-2;-9,098174000E-1;1,153251021E0;1,359018048E0;2,001171076E0
8,524137503E-2;-5,173499465E-2;1,117443842E-1;2,019665709E0;2,023416144E0
9,521337494E-2;-9,391821170E-1;1,946146327E-1;5,683517003E-1;1,114881859E0
1,051853750E-1;-1,632846081E0;7,206769305E-1;1,413096607E-2;1,784870092E0
1,151573750E-1;-1,251135750E0;8,828061873E-1;9,019183964E-1;1,777116829E0
1,251283750E-1;-2,939798766E-1;8,072119215E-1;1,770149229E0;1,967598421E0
1,351003749E-1;-3,464826107E-1;3,074916226E-1;1,339491856E0;1,417335433E0
1,450723750E-1;-1,219756521E0;2,153927135E-1;4,736887872E-1;1,326115025E0
1,550443750E-1;-1,512404548E0;6,152028081E-1;2,093268120E-1;1,646104409E0
1,650163750E-1;-1,678361684E0;8,308495831E-1;4,250200725E-1;1,920377837E0
1,749883749E-1;-1,364012447E0;8,921851212E-1;4,464495331E-1;1,689923499E0
1,849603750E-1;-1,134055197E0;8,669573092E-1;4,806791335E-1;1,506236567E0
1,949323750E-1;-1,103130589E0;8,512575352E-1;4,017154098E-1;1,450141978E0
2,049043750E-1;-1,274689358E0;1,135865495E0;-9,357053626E-1;1,946938085E0
2,148763749E-1;-8,331035386E-1;1,625288262E0;-2,088494453E0;2,774424719E0
2,248483750E-1;2,282504484E-1;1,105089844E0;4,792576754E-1;1,225972981E0
2,348193750E-1;5,355583222E-1;5,827788278E-1;4,365607220E-1;9,039021754E-1
2,447913750E-1;4,087841088E-1;-5,957844973E-2;-4,493860048E-1;6,104111897E-1
2,547633749E-1;-3,872910596E-2;-7,795838276E-1;1,702095240E-1;7,988880835E-1
2,647353749E-1;-7,523660620E-1;-8,133278167E-1;5,802566314E-1;1,250701638E0
2,747073750E-1;-1,833068339E0;-2,966239876E-1;4,809562916E-1;1,918187760E0
2,846793750E-1;-1,930933919E0;2,128050283E-1;6,031514043E-1;2,034105060E0
2,946513749E-1;-1,735958220E0;4,428628510E-1;3,798573482E-1;1,831384736E0
3,046233749E-1;-1,883122698E0;6,886558235E-1;1,902210349E-1;2,014095822E0
3,145953750E-1;-1,923821073E0;1,284228652E0;3,298852891E-1;2,336483481E0
3,245673750E-1;-1,355474928E0;1,126017906E0;5,459796685E-1;1,844809585E0
3,345393749E-1;-5,221304838E-1;5,493628675E-1;4,757949543E-1;8,948746509E-1
3,445103749E-1;-5,302028574E-1;4,758285758E-1;-2,819468915E-2;7,129676318E-1
3,544823750E-1;-9,037324219E-1;4,822146124E-1;-2,165890539E-1;1,046983305E0
3,644543750E-1;-1,420663196E0;4,799584642E-1;-1,636103565E-1;1,508447014E0
3,744263749E-1;-2,506882029E0;4,843614176E-1;-3,910068190E-1;2,583011774E0
3,843983749E-1;-3,034264336E0;-3,582030621E-1;-1,426293772E0;3,371851631E0
3,943703750E-1;-1,720589253E-1;-1,487872847E0;-1,394580814E0;2,046515460E0
4,043423750E-1;1,167466699E0;-1,517909117E0;-1,042218828E0;2,180194180E0
4,143143750E-1;2,745403331E-1;-4,604311028E-1;-8,471112746E-1;1,002480277E0
