"Time (s)";"Latitude (°)";"Longitude (°)";"Altitude (m)";"Altitude WGS84 (m)";"Speed (m/s)";"Direction (°)";"Distance (km)";"Horizontal Accuracy (m)";"Vertical Accuracy (m)";"Satellites"
1,093884706E0;6,508279799E1;2,540233363E1;7,779273508E0;2,528133374E1;4,789785668E-2;3,486430110E2;6,948902557E-4;1,404214786E1;2,426495585E1;-1,000000000E0
2,093867779E0;6,508279543E1;2,540234717E1;7,721355478E0;2,522341283E1;2,349327207E-1;1,101039515E2;2,185786838E-3;1,396579816E1;2,177077415E1;-1,000000000E0
3,093852043E0;6,508278547E1;2,540236849E1;7,886724029E0;2,538877424E1;5,828235149E-1;1,313090888E2;3,713125755E-3;1,273352218E1;1,908208470E1;-1,000000000E0
4,093837380E0;6,508278174E1;2,540239986E1;8,061912937E0;2,556395742E1;9,503975511E-1;1,125605494E2;5,633201146E-3;1,248509222E1;1,938160028E1;-1,000000000E0
5,093821406E0;6,508277447E1;2,540243704E1;8,329405825E0;2,583144228E1;9,503975511E-1;1,080321973E2;7,574921008E-3;1,209080330E1;1,959862923E1;-1,000000000E0
6,043806434E0;6,508278054E1;2,540247591E1;8,544374574E0;2,604640861E1;1,416106582E0;9,197839944E1;9,409845992E-3;1,185486804E1;1,971651145E1;-1,000000000E0
6,993691564E0;6,508277344E1;2,540251127E1;8,460579413E0;2,596260573E1;1,693153501E0;1,011622712E2;1,100330599E-2;1,179019969E1;1,973429610E1;-1,000000000E0
7,943192244E0;6,508277259E1;2,540254522E1;8,144216869E0;2,564623838E1;1,480623126E0;9,882370258E1;1,304447003E-2;1,115956052E1;1,846300493E1;-1,000000000E0
8,893170357E0;6,508276760E1;2,540258715E1;7,676373938E0;2,517838780E1;1,621059299E0;1,030522232E2;1,488842372E-2;1,018443737E1;1,574424704E1;-1,000000000E0
9,842874765E0;6,508276792E1;2,540262650E1;7,779637759E0;2,528164662E1;1,609830618E0;8,939037698E1;1,596017756E-2;1,406895148E1;2,220013355E1;-1,000000000E0
1,079287457E1;6,508276782E1;2,540264938E1;7,585017104E0;2,508702294E1;1,609830618E0;8,804118549E1;1,774035646E-2;1,166303517E1;1,921784900E1;-1,000000000E0
1,174285078E1;6,508276081E1;2,540268354E1;7,057447296E0;2,455944561E1;1,609243751E0;9,014478627E1;2,323528139E-2;1,270162534E1;1,991809198E1;-1,000000000E0
1,269285619E1;6,508271457E1;2,540272490E1;3,882259193E0;2,138423191E1;1,655320048E0;9,714782104E1;2,480180782E-2;1,305494072E1;2,146444902E1;-1,000000000E0
1,364286530E1;6,508271281E1;2,540275807E1;3,780431834E0;2,128239945E1;1,655320048E0;9,714785113E1;2,797094028E-2;1,305494072E1;2,146444902E1;-1,000000000E0
1,459285367E1;6,508268722E1;2,540278782E1;1,665374454E0;1,916732701E1;1,655320048E0;9,706498075E1;3,136114146E-2;1,209752175E1;2,125514255E1;-1,000000000E0
1,554286551E1;6,508266064E1;2,540282329E1;2,843326265E-1;1,778626895E1;1,655320048E0;1,101731242E2;3,313176522E-2;1,235741410E1;2,284720531E1;-1,000000000E0
1,649285388E1;6,508265724E1;2,540286021E1;-2,793749655E-1;1,722255505E1;1,705688596E0;9,872729657E1;3,454807818E-2;7,929655905E0;1,457950744E1;-1,000000000E0
1,744286215E1;6,508265355E1;2,540288915E1;-3,048028294E-1;1,719712181E1;1,705688596E0;9,836476178E1;3,576255470E-2;6,708400547E0;1,295499822E1;-1,000000000E0
1,839288104E1;6,508264769E1;2,540291102E1;-7,720993273E-1;1,672981990E1;1,606958985E0;9,261967800E1;3,806858050E-2;5,610263006E0;1,044732068E1;-1,000000000E0
1,934287381E1;6,508263340E1;2,540294668E1;-1,045946261E0;1,645596207E1;1,606958985E0;1,096141657E2;4,045454079E-2;7,145790375E0;1,340994267E1;-1,000000000E0
2,031389415E1;6,508261700E1;2,540297953E1;-9,109317251E-1;1,659096516E1;1,606958985E0;1,219675458E2;4,262212655E-2;9,918958165E0;1,967332267E1;-1,000000000E0
2,131388509E1;6,508259894E1;2,540299696E1;-8,344331980E-1;1,666745353E1;1,552696466E0;1,443239876E2;4,397756103E-2;5,904997706E0;1,212518251E1;-1,000000000E0
2,231387520E1;6,508258780E1;2,540298519E1;-1,149386837E0;1,635249656E1;1,288377285E0;1,682628103E2;4,553696241E-2;4,818915870E0;9,798032950E0;-1,000000000E0
2,331386435E1;6,508257403E1;2,540299140E1;-1,353170411E0;1,614870616E1;1,646871686E0;1,645417979E2;4,761600694E-2;7,310056086E0;1,502103671E1;-1,000000000E0
2,431385398E1;6,508255537E1;2,540298859E1;-1,164886492E0;1,633698230E1;1,792528510E0;1,700702087E2;4,997193492E-2;7,384672473E0;1,548886075E1;-1,000000000E0
